-3	12376.1
-2	12456
-1	12403.9
0	12421.2
1	12369.2
2	12421
3	12412.4
4	12410.7
5	12392.3
6	12372.8
7	12366.2
8	12433.6
9	12435.2
10	12519.1
11	12400.8
12	12457.2
13	12434.5
14	12544.3
15	12451.5
16	12393.8
17	12370.1
18	12370.6
19	12346.1
20	12391.7
21	12380.2
22	12402.9
23	12388.1
24	12294.9
25	12239.3
26	12000.2
27	11619.1
28	10958.1
29	9974.44
30	8621.97
31	7227.17
32	6067.36
33	5464.82
34	5281.95
35	5066.45
36	5043.53
37	5038.3
38	4964.73
39	5060.05
40	5001.24
41	5051.68
42	5059.31
43	5054.64
44	5011.95
45	4974.77
46	4981.22
47	5058.99
48	5006.34
49	5148.9
50	5055.44
51	4964.58
52	5007.76
53	5064.08
54	5035.4
55	5098.5
56	4973.56
57	4996.26
